Time,HF kWm2,St I2,St J2,St I,St J
13.379,11.4292629,140.44426,217.40886,152.38731,141.8179
13.409,11.38535165,140.51782,217.93842,152.46573,141.55696
13.439,11.31218669,140.56796,218.7085,152.52359,141.19865
13.469,11.20974347,140.62575,218.66612,152.55763,140.74596
13.499,10.99023631,140.67563,218.57135,152.72386,140.32396
13.529,11.38535165,140.73325,218.10085,152.80527,139.97591
13.559,12.23413884,140.82541,217.3436,152.84549,139.78226
13.589,12.7316974,140.90073,216.50243,152.97295,139.89241
13.619,12.52682323,140.92331,215.82603,153.02687,140.24754
13.649,11.94145445,140.98941,216.72218,153.13631,140.53284
13.679,11.22437646,141.09848,217.78958,153.1219,140.8615
13.709,10.88779309,141.12213,219.16545,152.89325,141.46558
13.739,10.50731075,140.99686,220.69429,152.7692,142.70792
13.769,10.56584272,140.9157,223.0697,152.70375,144.99879
13.799,10.30242431,140.8584,224.87373,152.83464,146.64301
13.829,10.40486753,140.73068,225.70259,152.92032,147.49821
